experiment,x_variable,x_label,y_variable,y_label,observed_x,observed_y,plot_x,plot_y,spearman_rho,q_value
4,aq_score,AQ,4_nf_daily,Daily familiarity,31,1.5,31.066557399306131,1.4782524913574044,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,7,-0.75,7.103829079582626,-0.75085049853714747,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,11,-1,10.982969596919316,-0.98752179446792199,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,1.375,18.122923281814401,1.3529568345765317,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,13,2.125,12.998096921391856,2.1024485180252701,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,20,0.875,19.833436047930643,0.85533613054021185,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,27,2,27.104441914298931,2.0243072232705619,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,1.5,18.164243905156788,1.5011749669955801,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,30,0.75,30.120837001850823,0.76399116628769892,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,21,2.625,21.079876131058175,2.6456624666035307,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,39,0.375,38.946116857510845,0.38018132530267951,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,-0.25,17.912268615063226,-0.26010227993925322,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,14,1,14.048199615181559,1.0259478394978658,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,25,-0.375,24.902624701501782,-0.37147906804475,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,38,-0.625,37.916956145317407,-0.61321764857636607,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,40,1.25,39.900938085244022,1.2481312945560157,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,22,1,21.947384468480564,1.025735098926611,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,19,-0.5,19.07446234471761,-0.47742937352004933,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,0.125,17.849457427889881,0.0984561025413348,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,5,1.5,4.9398479441444625,1.4907448867776381,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,38,1.125,38.148225881731037,1.1319141915740012,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,10,0.875,9.9501179350993105,0.88880586924193228,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,16,1,16.114792732383428,0.97353217584389939,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,12,0.5,12.147741978563211,0.48005981693868061,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,16,0,16.115769232629617,-0.022023688494170301,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,26,2.5,26.129976108358711,2.4827047710434349,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,26,0.375,25.971571072554251,0.38417824535397388,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,21,2,21.152808100963171,1.9857640176928415,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,12,-0.625,11.988018218073954,-0.64159123446562993,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,14,0.125,13.902885605443036,0.14784932665237879,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,16,0,15.969045130771203,-0.018070550696154999,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,23,0.375,22.90101087042185,0.39158117449664648,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,17,0.875,16.958258550968566,0.86773113798063273,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,17,0.125,17.047762678089942,0.13108574739585399,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,25,0.5,25.049512749068469,0.50281767354251461,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,17,3,16.991531752709459,2.9983008775911069,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,18,0.75,18.052443966047033,0.7242449222361439,0.2344950776831648,5.6196470670873507e-05
4,aq_score,AQ,4_nf_daily,Daily familiarity,28,-0.25,28.081456506588356,-0.2631404669681689,0.2344950776831648,5.6196470670873507e-05
