experiment,mode,questionnaire_variable,questionnaire_label,observed_face_fni,observed_questionnaire_value,plot_face_fni,plot_questionnaire_value
5,online,maemuki_score,Maemuki,0.86161764705882349,0.58322574112047798,0.85790892503895355,0.58107443364891354
5,online,maemuki_score,Maemuki,0.32279411764705879,1.2707697273486749,0.32911758067962649,1.2812609689015468
5,online,maemuki_score,Maemuki,-0.43779411764705878,0.5279110022531075,-0.44193184419547538,0.52845208375271413
5,online,maemuki_score,Maemuki,0.31485294117647061,1.288112326270221,0.31266850875766589,1.2908622814419479
5,online,maemuki_score,Maemuki,-0.083382352941176394,0.53353016379332163,-0.084387050760172,0.53309971773992715
5,online,maemuki_score,Maemuki,-1.8600000000000001,0.56778752436647173,-1.849860753443876,0.56203270826512575
5,online,maemuki_score,Maemuki,-0.29588235294117649,-0.32091023012075642,-0.2960256566581641,-0.32066659119041119
5,online,maemuki_score,Maemuki,0.38411764705882351,1.2717896382370066,0.38966780861818001,1.2822798649627141
5,online,maemuki_score,Maemuki,-0.41470588235294109,0.84998481051112629,-0.41283676972697581,0.84484806538623847
5,online,maemuki_score,Maemuki,0.4391176470588235,1.2318729272676641,0.44543094167045849,1.2406068660494851
5,online,maemuki_score,Maemuki,0.19323529411764701,1.3612275638591429,0.19754463644128631,1.3597313464175975
5,online,maemuki_score,Maemuki,-0.2642647058823529,1.5579662540188854,-0.2551015239153514,1.5520143465670282
5,online,maemuki_score,Maemuki,0.20132352941176471,1.146104528999266,0.19334291790812541,1.1555745262840309
5,online,maemuki_score,Maemuki,0.61602941176470594,-0.29541214146477301,0.60877222709482937,-0.2840867326107433
5,online,maemuki_score,Maemuki,0.43544117647058822,1.0417527404369511,0.42605841552625678,1.0403683838419018
5,online,maemuki_score,Maemuki,0.080588235294117599,0.65278157514999624,0.071277547585122406,0.65675263709924458
5,online,maemuki_score,Maemuki,0.65382352941176469,0.38146914002177162,0.64567861538446891,0.3880581532497614
5,online,maemuki_score,Maemuki,0.54397058823529409,0.69338655983392827,0.53508671184374479,0.7010241154243525
5,online,maemuki_score,Maemuki,0.39470588235294118,1.9109747221589328,0.38989697120914402,1.9108880229672576
5,online,maemuki_score,Maemuki,0.062058823529411701,1.4150274676590469,0.059015759518991899,1.4152126502475066
5,online,maemuki_score,Maemuki,1.1557352941176471,0.61110763018657754,1.1587071790661057,0.62153904288134854
5,online,maemuki_score,Maemuki,-0.042647058823529399,0.26447938026885398,-0.038593781355210299,0.26836989397875621
5,online,maemuki_score,Maemuki,-0.11970588235294111,0.33386085162400941,-0.12379872798923459,0.34367550527625212
5,online,maemuki_score,Maemuki,-0.1041176470588235,-0.43764778106883367,-0.1129153680175549,-0.44552847337064638
5,online,maemuki_score,Maemuki,0.6536764705882353,1.1793017898281055,0.64553476364711038,1.1785067068042061
5,online,maemuki_score,Maemuki,0.40911764705882347,1.2739205969469127,0.40632994535731759,1.2725491949442314
5,online,maemuki_score,Maemuki,-0.19558823529411759,1.6081713121186807,-0.20179362839314829,1.6025309631271347
5,online,maemuki_score,Maemuki,-0.0045588235294117003,1.6960703526493002,0.0037758167126333,1.6939489480788843
5,online,maemuki_score,Maemuki,0.73382352941176465,1.4315700868332446,0.7265011606117826,1.4395026151254788
5,online,maemuki_score,Maemuki,-0.1326470588235294,1.5066124908230172,-0.1277621291582291,1.4999167961502449
5,online,maemuki_score,Maemuki,0.6707352941176471,0.81450311384521912,0.66533854048573748,0.81448062180678982
5,online,maemuki_score,Maemuki,0.46073529411764702,0.58711646540593909,0.46383446999012551,0.57743274584091553
5,online,maemuki_score,Maemuki,0.54749999999999999,1.5477294878610666,0.54552151361761791,1.5428602818220301
5,online,maemuki_score,Maemuki,1.1597058823529411,2.4160021265284422,1.1550776163281766,2.4089987854941186
5,online,maemuki_score,Maemuki,0.44720588235294118,0.93935596567175517,0.44607415545155238,0.93240429918412004
5,online,maemuki_score,Maemuki,0.75955882352941173,0.92229722032353623,0.76489837601963528,0.92495236597805441
5,online,maemuki_score,Maemuki,0.1324999999999999,0.52929103060682015,0.12705987836328331,0.52576559128219302
5,online,maemuki_score,Maemuki,0.51455882352941185,1.3215890104047998,0.51676262595166456,1.3131340345725673
5,online,maemuki_score,Maemuki,-0.24926470588235289,1.1277024632287791,-0.2534470319751389,1.1372531812384072
5,online,maemuki_score,Maemuki,-0.30279411764705882,0.088896483633325696,-0.2944239466339808,0.092213729389422905
5,online,maemuki_score,Maemuki,0.2533823529411765,1.4884025087972459,0.25831336173704028,1.4862099718552004
5,online,maemuki_score,Maemuki,0.27250000000000002,0.25537771195665931,0.28179194266831858,0.2520945092147831
5,online,maemuki_score,Maemuki,-0.1464705882352941,0.1041476798055745,-0.13646059594986479,0.10565360404924611
5,online,maemuki_score,Maemuki,-0.23823529411764699,0.99301441735652285,-0.2430708917200938,0.99127918259726322
5,online,maemuki_score,Maemuki,0.2276470588235294,-0.22022733601680969,0.2253049173589711,-0.22406501037000681
5,online,maemuki_score,Maemuki,0.54647058823529404,0.94007651705020123,0.53683094758758554,0.93280875318086798
5,online,maemuki_score,Maemuki,-0.53411764705882359,0.62249151920204548,-0.52360057173679597,0.62726175222325997
5,online,maemuki_score,Maemuki,0.0045588235294117003,1.4652524619629883,-0.0026063458745635999,1.4600716365374979
5,online,maemuki_score,Maemuki,1.1260294117647061,0.91052948026632241,1.1287435878265533,0.91093339518773675
