analysis_record_id,experiment,mode,in_primary,face_fni,geometry_fni,scenery_fni,aq_score,daily_familiarity,maemuki_score,flow_original,flow_common12,negative_capability,novelty_benefit,familiarity_benefit,daily_food,daily_places,daily_movies,daily_restaurant,daily_clothes,daily_games,daily_books,daily_snacks
A077,4,online,True,0.4289705882352941,0.7960294117647059,0.330735294117647,38,1.125,0.3942656515024936,0.692307692308,0.5,2.6666666666666665,2.0,0.5,2,-1,-1,1,3,2,2,1
A078,4,online,True,1.067794117647059,1.1408823529411765,0.8072058823529412,10,0.875,0.4654287233234602,1.07692307692,1.08333333333,1.5555555555555556,1.0,1.0,1,-1,-1,1,2,3,1,1
A079,4,online,True,0.5964705882352942,1.3766176470588236,0.5375,16,1.0,1.060445621629832,1.15384615385,1.08333333333,2.111111111111111,1.5,0.5,2,-1,0,-1,3,2,1,2
A080,4,online,True,0.9526470588235294,1.1372058823529412,-0.265735294117647,12,0.5,1.6024198754461914,1.0,1.0,1.7777777777777777,1.5,2.0,-1,0,2,0,2,1,1,-1
A081,4,online,True,0.2277941176470588,0.4217647058823529,-0.170735294117647,16,0.0,0.65955893521683,0.153846153846,0.0833333333333,1.0,1.0,1.0,2,-1,-2,2,0,1,-2,0
A082,4,online,True,2.1176470588235294,1.3470588235294116,0.7941176470588235,26,2.5,0.6666710969342549,1.0,0.916666666667,1.3333333333333333,0.0,0.0,3,3,2,3,3,3,1,2
A083,4,online,True,0.9916176470588234,0.7704411764705883,-0.1497058823529411,26,0.375,0.7129347991190097,1.53846153846,1.58333333333,0.5555555555555556,0.5,2.0,1,-1,-1,1,2,0,0,1
A084,4,online,True,0.0970588235294117,0.5270588235294117,1.4313235294117648,21,2.0,0.6448760790866054,1.0,0.916666666667,1.4444444444444444,-0.5,1.0,2,3,0,2,2,3,2,2
A085,4,online,True,1.0247058823529411,0.9544117647058824,1.0126470588235297,12,-0.625,1.75758240297714,1.76923076923,1.75,1.7777777777777777,2.0,2.0,1,0,-2,-1,-1,-2,-2,2
A086,4,online,True,0.7197058823529412,0.7051470588235295,-0.01,14,0.125,1.2649844307739049,0.769230769231,0.833333333333,1.4444444444444444,-2.5,-1.5,0,0,0,0,0,1,0,0
A087,4,online,True,1.1548529411764703,0.073235294117647,0.6230882352941176,16,0.0,1.2989547732968785,1.07692307692,1.08333333333,1.6666666666666667,0.5,1.5,-1,-1,0,-1,0,2,-1,2
A088,4,online,True,-0.2763235294117647,1.5701470588235291,0.4029411764705882,23,0.375,0.1827441077441077,0.153846153846,0.0833333333333,0.2222222222222222,1.0,-1.0,2,0,-1,1,0,2,0,-1
A089,4,online,True,0.516029411764706,1.4010294117647055,0.4010294117647058,17,0.875,1.2636657932710564,0.615384615385,0.916666666667,2.111111111111111,0.0,0.5,-2,0,3,1,2,0,2,1
A090,4,online,True,0.7517647058823529,1.043970588235294,-0.0317647058823529,17,0.125,1.6214225589225588,1.46153846154,1.5,1.6666666666666667,1.0,1.5,-1,-1,1,1,2,0,0,-1
A091,4,online,True,0.7929411764705883,0.5851470588235294,-0.2576470588235294,25,0.5,0.7767562846510214,1.53846153846,1.58333333333,1.8888888888888888,2.0,1.5,0,-2,-2,1,2,2,2,1
A092,4,online,True,1.279264705882353,0.6523529411764706,0.2024999999999999,17,3.0,1.8048802561960455,1.84615384615,1.75,2.7777777777777777,2.0,2.0,3,3,3,3,3,3,3,3
A093,4,online,True,0.7627941176470587,0.0227941176470588,-0.2023529411764706,18,0.75,-0.8228832814359132,-0.615384615385,-0.5,0.6666666666666666,0.0,0.0,0,0,0,0,2,2,0,2
A094,4,online,True,2.541323529411765,0.5377941176470589,1.9411764705882353,28,-0.25,0.5794122300701248,0.0769230769231,0.0,0.5555555555555556,1.0,1.0,2,2,-1,-1,-2,-2,-2,2
A095,4,online,True,0.7186764705882352,1.0129411764705882,-0.2758823529411764,22,2.125,0.9884173818384344,1.07692307692,1.08333333333,1.6666666666666667,-0.5,1.5,2,3,0,2,3,2,2,3
A096,4,online,True,1.2705882352941178,1.8519117647058825,0.7176470588235294,31,-0.625,-0.6105687197792462,0.307692307692,0.333333333333,-0.4444444444444444,-1.5,-1.5,-1,-1,-2,0,2,0,-2,-1
A097,4,online,True,0.0583823529411764,-0.2625,-0.8358823529411765,16,1.875,1.512387028176502,1.84615384615,1.83333333333,2.0,-1.0,1.0,3,3,1,2,2,2,1,1
A098,4,online,True,1.0766176470588231,0.5686764705882353,-0.2952941176470589,25,-0.875,0.3548720285562391,0.692307692308,0.666666666667,1.7777777777777777,1.0,0.5,1,-1,-2,-2,-2,-1,1,-1
A099,4,online,True,2.605882352941176,-0.0960294117647058,-0.1044117647058823,26,-0.25,0.2136452241715399,0.769230769231,0.666666666667,0.3333333333333333,0.0,0.5,-1,1,-2,-1,-3,2,0,2
A100,4,online,True,0.3372058823529412,1.1030882352941176,-0.6998529411764706,16,-0.375,1.7291239462292092,1.38461538462,1.33333333333,2.5555555555555554,2.0,2.5,0,0,-1,-1,1,-1,-1,0
A101,4,online,True,-0.0005882352941176,0.8404411764705882,0.2588235294117647,19,0.375,2.110990544543176,2.61538461538,2.58333333333,2.6666666666666665,1.5,1.0,1,-1,-2,2,2,3,-2,0
A102,4,online,True,1.2276470588235295,0.7907352941176471,0.8938235294117647,11,1.125,1.7968130553656871,2.23076923077,2.25,2.2222222222222223,2.0,2.0,2,2,-2,2,2,2,0,1
A103,4,online,True,-0.073235294117647,0.2977941176470588,-0.2866176470588235,13,0.25,0.9886828814460392,1.38461538462,1.33333333333,1.4444444444444444,2.0,-1.0,2,-2,-1,2,-1,2,1,-1
A104,4,online,True,1.043676470588235,0.2444117647058823,0.0085294117647058,13,0.125,0.8322102604997341,1.0,1.0,1.6666666666666667,1.5,0.5,-1,-2,0,-2,2,1,1,2
A105,4,online,True,1.5770588235294116,1.190735294117647,1.0602941176470588,20,1.375,1.0502085390243283,1.76923076923,1.75,2.4444444444444446,1.0,1.0,2,2,1,2,1,3,-2,2
A106,4,online,True,0.4576470588235294,0.8001470588235293,-0.3382352941176471,22,0.875,1.0258623199412673,1.15384615385,1.16666666667,0.7777777777777778,0.0,1.0,2,1,0,0,1,1,1,1
A107,4,online,True,0.1673529411764705,0.6501470588235294,0.6183823529411764,23,0.25,0.2014430014430014,1.38461538462,1.33333333333,1.4444444444444444,1.5,2.0,2,0,-1,2,1,-2,-2,2
A108,4,online,True,1.143529411764706,1.126470588235294,0.7285294117647059,25,1.5,0.3290214171793119,1.23076923077,1.25,0.7777777777777778,-0.5,0.5,2,2,1,2,-1,3,2,1
A109,4,online,True,0.5594117647058824,1.7005882352941175,1.1873529411764705,15,0.5,1.1581355535302906,1.84615384615,1.83333333333,2.7777777777777777,2.0,1.0,1,1,-1,1,1,1,-1,1
A110,4,online,True,0.1541176470588235,0.1963235294117647,0.4826470588235294,17,1.625,1.160003227766386,0.615384615385,0.666666666667,2.0,0.0,0.0,0,2,1,3,3,3,-1,2
A111,4,online,True,0.4202941176470588,1.0638235294117648,0.8722058823529412,29,0.5,0.2604778992936887,1.46153846154,1.41666666667,0.7777777777777778,1.5,-1.0,-1,-1,-1,2,2,0,1,2
A112,4,online,True,0.8654411764705883,1.181029411764706,-0.0035294117647058,32,1.875,0.3007917521075415,1.0,1.0,0.5555555555555556,1.5,2.0,2,2,-1,2,2,2,3,3
A113,4,online,True,0.1088235294117647,0.5641176470588235,-0.7348529411764706,16,0.625,1.4618677375256324,2.0,2.0,2.4444444444444446,2.0,2.5,2,3,-1,-1,2,-1,-2,3
A114,4,online,True,0.8105882352941176,1.0370588235294118,-0.1217647058823529,18,1.5,1.162545884914306,1.46153846154,1.41666666667,1.1111111111111112,0.5,2.0,2,1,-1,2,2,2,2,2
A115,4,online,True,0.0710294117647058,0.1286764705882352,0.0644117647058823,22,1.125,1.038434786461102,0.923076923077,0.833333333333,0.5555555555555556,0.5,0.0,1,1,1,2,1,1,1,1
A116,4,online,True,0.1447058823529411,0.1551470588235294,-0.8911764705882352,11,0.375,1.4216241360978203,1.61538461538,1.58333333333,2.0,2.0,2.0,0,1,-1,1,1,-1,1,1
A117,4,online,True,-0.0601470588235294,-1.1072058823529414,-0.0497058823529411,13,-0.25,1.4423872180451127,1.92307692308,1.91666666667,1.7777777777777777,1.5,1.5,-1,0,-2,0,1,2,-2,0
A118,4,online,True,0.8866176470588235,2.1448529411764703,1.0741176470588234,22,1.625,-0.0154467608414976,-0.230769230769,-0.0833333333333,1.8888888888888888,1.5,-1.0,2,2,1,3,2,3,-2,2
A119,4,online,True,-0.1564705882352941,-0.1298529411764705,-0.0092647058823529,12,-0.375,0.4638850915166705,0.307692307692,0.333333333333,1.4444444444444444,0.0,0.5,2,1,-1,-2,-1,-2,-1,1
A120,4,online,True,0.4475,0.3551470588235293,-0.1795588235294117,32,0.25,0.2707102351839194,0.846153846154,0.833333333333,0.5555555555555556,1.5,1.0,2,1,-1,0,0,-2,1,1
A121,4,online,True,0.6995588235294118,0.2977941176470588,-0.1775,26,0.875,0.4572241841978685,0.461538461538,0.416666666667,1.3333333333333333,1.5,0.5,1,0,2,1,1,1,0,1
A122,4,online,True,0.8180882352941177,-0.2091176470588235,0.3594117647058824,25,0.0,0.3899917090706564,0.307692307692,0.333333333333,0.4444444444444444,0.0,0.0,0,0,0,0,0,0,0,0
A123,4,online,True,0.7773529411764706,1.23,-0.3164705882352941,27,0.375,0.3359778866357814,0.538461538462,0.5,1.6666666666666667,0.0,0.0,3,3,-3,-1,0,0,-1,2
A124,4,online,True,2.5263235294117647,0.774264705882353,0.8242647058823529,7,-0.625,2.1323165869218497,2.23076923077,2.16666666667,3.0,2.5,2.5,-2,-1,-2,-1,2,-1,-2,2
