broad_category,trial_within_subcategory,trial_c,observed_mean,participant_sd,n_participants,sem,t_critical,ci_low,ci_high,uncertainty,legacy_row_mean,mean_difference_vs_legacy
Scenery,7,-2.5,-0.35238562091503267,1.0348900804470351,153,0.0836659041683742,1.9756939278061865,-0.517683839744904,-0.18708740208516145,95% t CI across participant-level means,-0.35238562091503267,0.0
Scenery,8,-1.5,-0.3458496732026144,0.9745703406956873,153,0.0787893422408335,1.9756939278061865,-0.5015132982436726,-0.19018604816155615,95% t CI across participant-level means,-0.3458496732026144,0.0
Scenery,9,-0.5,-0.36205882352941177,1.0998410141404296,153,0.08891687593504781,1.9756939278061865,-0.5377313553937817,-0.18638629166504178,95% t CI across participant-level means,-0.36205882352941177,0.0
Scenery,10,0.5,-0.44486928104575163,1.009960989298795,153,0.08165050660063215,1.9756939278061865,-0.6061856911389195,-0.28355287095258375,95% t CI across participant-level means,-0.44486928104575163,0.0
Scenery,11,1.5,-0.4368954248366013,0.9136101765969784,153,0.07386100507350091,1.9756939278061865,-0.582822164061979,-0.2909686856112237,95% t CI across participant-level means,-0.4368954248366013,0.0
Scenery,12,2.5,-0.3981372549019608,0.9849720528283739,153,0.07963027082534989,1.9756939278061865,-0.5554622974411667,-0.24081221236275488,95% t CI across participant-level means,-0.3981372549019608,0.0
Scenery,13,3.5,-0.36794117647058827,1.0334494534484102,153,0.0835494363785223,1.9756939278061865,-0.5330092905952641,-0.20287306234591246,95% t CI across participant-level means,-0.36794117647058827,0.0
Scenery,14,4.5,-0.3279575163398693,1.1216390012700639,153,0.0906791387460544,1.9756939278061865,-0.5071117401391436,-0.14880329254059493,95% t CI across participant-level means,-0.3279575163398693,0.0
Scenery,15,5.5,-0.3201797385620915,1.0787043772971032,153,0.0872080801257271,1.9756939278061865,-0.49247621292212584,-0.14788326420205708,95% t CI across participant-level means,-0.3201797385620915,0.0
Scenery,16,6.5,-0.39227124183006534,1.0707982972427879,153,0.0865689114365402,1.9756939278061865,-0.5633049144920294,-0.22123756916810133,95% t CI across participant-level means,-0.39227124183006534,0.0
Scenery,17,7.5,-0.33862745098039215,1.043083893232195,153,0.08432833467013402,1.9756939278061865,-0.5052344297301838,-0.17202047223060046,95% t CI across participant-level means,-0.33862745098039215,0.0
Scenery,18,8.5,-0.4130392156862745,1.0884311629489154,153,0.08799444413827934,1.9756939278061865,-0.5868893046509537,-0.23918912672159534,95% t CI across participant-level means,-0.4130392156862745,0.0
