manuscript_profile_id,analysis_record_id,experiment,task_label,mode,face_fni,geometry_fni,scenery_fni,mean_category_fni,4_nf_daily,average_category_fni_daily_nf,4_food/cuisine,4_places/activities,4_movies or videos,4_restaurant,4_clothes,4_digital games,4_books or magazines,4_snacks or treats,plot_order,average_rug_unit,jitter_face,jitter_geometry,jitter_scenery,jitter_food,jitter_places,jitter_movies,jitter_restaurant,jitter_clothes,jitter_games,jitter_books,jitter_snacks,daily_line_order
P039,A189,5,Task 5,online,0.5779411764705881,-0.7661764705882353,-0.5552941176470589,-0.247843137254902,0.0,-0.123921568627451,0,0,0,0,0,0,0,0,38,0.389113719985588,-0.0004126031124949,0.0935021154548199,-0.0954633435245685,-0.0686095784881655,-0.103570095937151,-0.0227543109896914,-0.0733770535054325,-0.006109389347286,-0.0329648045289065,0.0518654875080584,-0.0950487630890648,-1
P040,A190,5,Task 5,online,0.338676470588235,-0.4469117647058821,-0.1033823529411764,-0.0705392156862744,-0.5,-0.2852696078431372,-1,-1,-2,-1,2,1,-1,-1,39,-0.5740553546136588,-0.0731675798056193,-0.0209342026637723,-0.0807850608522206,-0.076715671372898,-0.1017227839867194,0.0916667377164209,0.0379313185774625,-0.0101066673370499,0.1219751128011417,0.0424022201968754,0.0333149121059815,6
P041,A191,5,Task 5,online,0.1692647058823529,-0.822941176470588,0.8238235294117646,0.0567156862745097,1.5,0.7783578431372546,2,1,1,2,1,1,2,2,40,0.76202184814503,0.1068531267630338,0.0360201796288601,0.0729291882820462,0.0156375447164163,0.008769900752834,0.0218440346443047,-0.0060875492150153,-0.0205802476725256,-0.0129697094938581,-0.0821102440230988,0.0534272766949192,-1
P042,A192,5,Task 5,online,1.0001470588235295,-0.4160294117647058,0.1020588235294117,0.2287254901960784,-0.375,-0.0731372549019606,0,0,0,0,0,0,-3,0,41,0.303002638029407,-0.0741684470612375,-0.1205159855596439,0.0895998000758227,-0.0721889447897366,0.1140841875092646,0.0215332432984546,-0.1249276612221813,-0.0464598667602078,0.1378159720914811,-0.086476784855176,0.0471082918769386,10
P043,A193,5,Task 5,online,-0.6589705882352942,0.983970588235294,-0.2620588235294116,0.0209803921568626,-0.75,-0.3645098039215686,3,-2,-1,-2,-2,-1,-1,0,42,0.369501807522271,-0.0009286264557992,-0.0694968731461188,-0.1075902410388971,-0.0213390744485505,0.0542256796587509,-0.0027194234873693,0.1396733135840322,-0.1249860229794359,-0.1440477882855194,0.1046113467381229,-0.098129129401091,-1
P044,A194,5,Task 5,online,0.0320588235294117,0.1844117647058823,0.2291176470588235,0.1485294117647058,-0.5,-0.1757352941176471,-1,-1,-1,1,1,0,-2,-1,43,-0.9619189745383102,0.038231615977169,-0.1261781259619932,0.0137045471622222,-0.0878612827853468,0.0485447042756574,0.1073018842835619,0.0113139411262544,-0.0833192132785706,-0.0689536133676467,-0.014706230132844,0.0381801479353452,69
P045,A195,5,Task 5,online,0.9185294117647058,1.071323529411765,0.2852941176470588,0.7583823529411765,0.25,0.5041911764705882,0,3,-2,0,3,-2,-2,2,44,-0.0539621433505597,0.0413745715730884,0.0891556030055089,0.1182129634609666,-0.1487134914410367,-0.0342460926202345,0.125207818148968,-0.1108025752419748,0.1203182667911474,-0.1276926758963918,-0.0393626324679635,-0.0459223142545812,20
P046,A196,5,Task 5,online,-0.3813235294117646,-0.168970588235294,-1.0624999999999998,-0.537598039215686,-1.125,-0.8312990196078431,-2,-2,0,-1,-1,-2,1,-2,45,0.6515787623350326,0.0319671824548413,-0.0295857895788123,-0.0993656176516416,-0.0116108669555603,0.0770684529342478,-0.1436015324872627,-0.0819643912374293,-0.0799200269937846,0.1238934202460802,0.0742146919790448,-0.103625063848532,-1
P047,A197,5,Task 5,online,0.3147058823529411,-0.3179411764705882,-0.5452941176470588,-0.1828431372549018,0.75,0.283578431372549,2,2,-2,-1,3,2,-2,2,46,0.459925206526086,-0.0490283137224536,-0.1173750912555379,-0.1153453792261414,0.0319753540971189,0.0436992033882685,-0.1493474922780685,0.0072642942790248,-0.0040115584860804,0.0581931865936858,-0.0449203461609263,-0.1379931252863161,-1
P048,A198,5,Task 5,online,-0.0091176470588234,0.0136764705882352,-0.0183823529411763,-0.0046078431372547,0.0,-0.0023039215686273,0,1,1,0,0,-1,-1,0,47,0.8414772266911534,0.1092472157607535,-0.0891455630987497,0.1233541780497702,-0.0039679650504727,0.0032589570963874,0.0962217546848665,-0.1475273647342368,-0.0449912221856001,-0.1045926745634248,-0.0450029422298567,0.043556246821782,-1
