4_1_n_affect_daily,4_2_f_affect_daily,4_nf_daily,aq_score,experiment,plot_4_1_n_affect_daily_x,plot_4_1_n_affect_daily_aq,plot_4_2_f_affect_daily_x,plot_4_2_f_affect_daily_aq
1.5,1.5,0.25,22,4,1.4584203254369938,22.130706359417214,1.539096886424802,22.132963512835136
1.0,0.0,-0.875,15,4,1.0749979803747438,14.865075459138485,-0.03828984301779657,14.843082277144935
1.0,1.0,1.0,29,4,1.0402669393577773,29.177203264362518,1.0714155549244524,28.691101836049153
3.0,2.0,-3.0,12,4,3.0373804123038917,12.244683451237991,2.0192939610540352,11.71424315293837
-0.5,0.0,0.625,32,4,-0.5268521773463092,32.11133700310152,0.0051441597505522295,31.74332948063831
2.0,2.0,-0.25,19,4,1.9785665416176808,18.80073603407847,1.988290857330757,18.917361890331232
0.5,2.0,1.125,20,4,0.4777763228457177,19.860788725446746,1.9220160574602905,20.26220755372923
1.5,1.5,0.0,15,4,1.4187438867916553,15.299077166467033,1.5244230390642488,14.904713093064537
0.0,-0.5,0.25,26,4,0.044463374437353646,26.26292560554809,-0.5038025289091922,26.302760790100518
3.0,3.0,3.0,33,4,2.9671826822122993,33.038138854576175,3.029748420406706,33.215029564873134
0.0,0.5,1.875,23,4,-0.013198089983902584,23.23393305549453,0.4891670528479868,22.680229575005765
-2.0,-2.5,0.0,32,4,-1.9804072520664329,31.764545306733346,-2.5380183509520062,32.03432292219623
1.0,2.0,2.25,22,4,1.0131539556813616,21.89499160828165,2.0773152660064316,22.18160186790128
0.0,-1.0,-0.375,28,4,-0.06607006087863061,27.952848173441208,-0.9360610771349673,27.693423965245074
1.5,2.0,1.875,19,4,1.3963950180450067,19.051667562297656,2.046252821028076,18.696411229323072
0.5,2.0,-0.375,18,4,0.40333686146061754,17.68373415213263,1.901154737807123,17.722762775037324
2.0,2.0,0.625,20,4,1.927922838950175,20.193945007913737,2.0819022312392628,19.76808575956442
0.5,0.5,1.125,24,4,0.45645406092514634,24.297766001450395,0.5115392028573867,24.106411160120597
1.0,1.0,1.0,13,4,0.9208913418196518,12.779149778339804,0.9338551937844499,12.955950956409614
2.0,1.0,0.375,22,4,1.9912188765377512,22.16039002666697,0.9501928505787665,21.887410191337583
0.5,1.0,1.125,26,4,0.5468918696216312,25.742753651908274,1.0906305091520436,26.02731518682174
1.0,1.0,-0.125,22,4,0.9498860528997186,22.23686176817951,0.9783803764157057,22.005066495992136
1.0,1.0,0.125,21,4,0.9071226998837943,20.766888282244977,0.9280580819919216,20.924910465183494
1.0,1.0,-0.5,15,4,0.8979650640027301,15.15299828343209,0.9926616128532572,15.087277375038818
1.5,1.5,1.0,26,4,1.5473258132779355,25.848576752267956,1.5301099619420462,26.163635590458085
0.0,0.0,0.25,17,4,0.01679139528572424,17.27137939558498,0.013062357499969311,17.049824675951367
1.5,1.5,1.125,9,4,1.4866514571288283,9.111161125407818,1.6047424407577604,9.05939463913521
1.0,-1.5,0.25,19,4,1.03717033724782,18.82663580974906,-1.4025562846214885,19.229042086804185
-2.0,-0.5,1.75,26,5,-1.9614325193917328,25.823225758173727,-0.4474722546697411,26.291027333619425
0.0,0.0,0.875,11,5,0.027093218391862087,11.245869429160534,0.047735137064210835,10.859430024643746
1.0,-1.0,0.625,33,5,1.0008937532828541,33.10557870365844,-1.0222332100373812,32.725123357926705
1.0,-1.0,-0.75,17,5,0.9461537289899317,16.924298207822073,-0.9573735358448467,17.02827904173945
1.5,1.0,-0.375,23,5,1.595370295545742,23.170765907001176,1.0557638800449882,23.087758106021674
-1.5,0.5,1.375,32,5,-1.4380711736914407,31.95325899172217,0.5059448374669915,32.1609252162824
1.0,0.5,2.375,21,5,1.000438655949522,21.235194977008796,0.5789409065355071,21.226381384907423
0.5,2.0,-1.125,43,5,0.5903694905368261,43.049520463847735,2.0734058163323756,42.789388900243665
-1.0,-3.0,0.625,34,5,-0.9067128464648533,33.915461066638514,-3.0008129943832005,33.93059730684044
2.0,2.0,0.5,13,5,1.9438856482155307,12.877816737037167,2.023596989685445,13.162505217508741
0.0,0.0,1.625,34,5,0.09594003189155872,33.95744482124549,-0.08697031291078067,33.74845275664618
0.0,0.5,0.5,19,5,0.01918288499635949,18.74710883126762,0.46248481824432264,18.743167303734868
1.5,2.0,1.625,24,5,1.4140849036152274,24.01332463882051,1.993960204567499,23.810963347617786
1.0,1.5,1.375,12,5,1.0908474447384657,11.839248549773385,1.4752905462207,12.19967003462519
2.5,1.0,0.125,15,5,2.4673448923528523,15.19731065579157,0.9913242605099807,14.830402434365892
2.0,2.0,0.875,17,5,1.9415328172055857,16.92337483060235,1.917308075070813,16.84584747022766
2.0,2.0,0.0,12,5,2.037742049682644,11.743484603775805,1.971873455369211,12.211044954513936
2.5,2.0,-0.5,9,5,2.4693012392647438,8.712129108675567,1.9235462965821462,8.968900560298383
1.0,1.5,1.5,22,5,1.0023931523284149,22.204416820133844,1.4237958315271027,21.901398351436026
0.0,0.0,-0.375,30,5,-0.008534730475692486,30.136288387703555,-0.0021768502656024625,29.825588446289366
2.0,1.5,-0.75,29,5,2.103434567699343,28.858519056417812,1.4053143186749664,28.759934410963726
1.0,-1.0,-0.5,26,5,1.0682100873526936,25.86264021967761,-0.9356530553754753,26.237786034745866
1.5,1.5,0.25,23,5,1.5557337353645389,23.002103268302847,1.4968132615315417,23.12539981903374
0.5,0.5,-1.125,25,5,0.42271613666838115,24.74299079270244,0.41795823695318013,24.786283171134485
0.5,1.5,0.75,13,5,0.4737867937329455,13.015845680108407,1.588195338018798,12.995797929809079
1.5,1.5,-1.375,14,5,1.5287750457514535,13.82247723634895,1.5486936116424759,13.919335443056884
-3.0,0.5,1.875,28,5,-3.0481423971332,28.27362958965281,0.5332943074870911,27.702442120897757
0.5,0.5,1.875,24,5,0.5464658733263209,23.93831722265615,0.40709213909556996,23.918824332749264
0.5,2.0,-1.375,11,5,0.44103027325061134,10.951549258996803,1.9491286309526763,11.037642512609846
2.0,2.5,-0.625,18,5,2.041193740986047,18.200780579448004,2.469594553981555,18.184127782461733
